month,month_no,bidding_no,vehicle_class,quota,bids_success,bids_received,premium
2012-02,02,1,4,412,409,512,1802
2012-02,02,1,5,312,312,425,73801
2012-02,02,2,1,624,607,1017,57009
2012-02,02,2,2,351,348,580,78189
2012-02,02,2,3,164,149,248,52004
2012-02,02,2,4,413,389,509,2012
2012-02,02,2,5,314,296,507,78000
2012-03,03,1,1,667,649,912,56551
2012-03,03,1,2,354,352,626,79304
2012-03,03,1,3,163,159,247,50009
2012-03,03,1,4,413,407,474,1490
2012-03,03,1,5,309,309,492,76881
2012-03,03,2,1,636,626,1067,56501
2012-03,03,2,2,352,352,529,82003
2012-03,03,2,3,174,174,241,51511
2012-03,03,2,4,434,433,584,2000
2012-03,03,2,5,327,327,449,80101
2012-04,04,1,1,637,615,960,58501
2012-04,04,1,2,352,348,483,83700
2012-04,04,1,3,163,163,222,53989
2012-04,04,1,4,416,416,542,1896
2012-04,04,1,5,309,307,413,84590
2012-04,04,2,1,629,618,1011,64201
2012-04,04,2,2,349,349,563,91000
2012-04,04,2,3,160,158,261,57589
2012-04,04,2,4,411,411,526,1924
2012-04,04,2,5,308,295,447,92010
2012-05,05,1,1,641,593,822,62600
2012-05,05,1,2,354,354,545,92050
2012-05,05,1,3,159,159,218,58553
2012-05,05,1,4,410,410,514,2021
2012-05,05,1,5,311,304,457,88990
2012-05,05,2,1,630,617,945,58001
2012-05,05,2,2,349,349,482,85216
2012-05,05,2,3,162,161,205,57106
2012-05,05,2,4,410,410,520,1890
2012-05,05,2,5,321,312,544,86889
2012-06,06,1,1,668,647,1004,59003
2012-06,06,1,2,350,342,490,83000
2012-06,06,1,3,159,155,258,54522
2012-06,06,1,4,410,368,569,1912
2012-06,06,1,5,315,311,526,85889
2012-06,06,2,1,633,577,920,59004
2012-06,06,2,2,349,346,477,85400
2012-06,06,2,3,161,158,242,54502
2012-06,06,2,4,410,393,517,1712
2012-06,06,2,5,317,315,427,84389
2012-07,07,1,1,641,613,872,59421
2012-07,07,1,2,358,358,459,82289
2012-07,07,1,3,164,161,234,55556
2012-07,07,1,4,451,442,592,1760
2012-07,07,1,5,312,295,410,86999
2012-07,07,2,1,676,669,911,68656
2012-07,07,2,2,353,352,549,90501
2012-07,07,2,3,163,162,222,55805
2012-07,07,2,4,426,425,531,1859
2012-07,07,2,5,310,306,429,92700
2012-08,08,1,1,421,415,724,73501
2012-08,08,1,2,350,345,489,94502
2012-08,08,1,3,183,180,241,57001
2012-08,08,1,4,456,453,659,2081
2012-08,08,1,5,260,258,354,95034
2012-08,08,2,1,400,391,530,66889
2012-08,08,2,2,351,351,532,88002
2012-08,08,2,3,181,178,261,59334
2012-08,08,2,4,448,444,535,2013
2012-08,08,2,5,247,238,301,93990
2012-09,09,1,1,399,391,518,68000
2012-09,09,1,2,355,355,466,80191
2012-09,09,1,3,183,177,269,57334
2012-09,09,1,4,450,450,575,1801
2012-09,09,1,5,245,245,349,87999
2012-09,09,2,1,402,402,486,63000
2012-09,09,2,2,351,349,523,88500
2012-09,09,2,3,182,181,230,57809
2012-09,09,2,4,450,434,566,1852
2012-09,09,2,5,252,245,421,89990
2012-10,10,1,1,401,399,506,69000
2012-10,10,1,2,350,350,414,80001
2012-10,10,1,3,186,185,221,56001
2012-10,10,1,4,447,413,631,1912
2012-10,10,1,5,243,242,312,86889
2012-10,10,2,1,393,390,509,71001
2012-10,10,2,2,353,353,540,85801
2012-10,10,2,3,180,180,229,57889
2012-10,10,2,4,463,462,605,1920
2012-10,10,2,5,249,233,371,87000
2012-11,11,1,1,395,393,621,77201
2012-11,11,1,2,350,350,573,92400
2012-11,11,1,3,181,180,268,59111
2012-11,11,1,4,481,478,580,1959
2012-11,11,1,5,244,241,401,92100
2012-11,11,2,1,396,393,540,77291
2012-11,11,2,2,351,342,487,93004
2012-11,11,2,3,179,177,254,60235
2012-11,11,2,4,448,441,523,1689
2012-11,11,2,5,258,250,352,93990
2012-12,12,1,1,395,378,482,78523
2012-12,12,1,2,350,337,493,90200
2012-12,12,1,3,181,168,281,63035
2012-12,12,1,4,450,435,602,1612
2012-12,12,1,5,246,233,329,97000
2012-12,12,2,1,395,378,499,81889
2012-12,12,2,2,360,360,478,93501
2012-12,12,2,3,182,178,242,62201
2012-12,12,2,4,454,440,522,1701
2012-12,12,2,5,250,241,406,95990
2013-01,01,1,1,410,409,555,92100
2013-01,01,1,2,363,363,470,96210
2013-01,01,1,3,193,188,244,60000
2013-01,01,1,4,462,462,523,1933
2013-01,01,1,5,256,256,393,96101
2013-01,01,2,1,409,409,489,91010
2013-01,01,2,2,351,351,452,95501
2013-01,01,2,3,184,184,262,57051
2013-01,01,2,4,461,461,530,1781
2013-01,01,2,5,251,248,344,97889
2013-02,02,1,1,335,333,418,87109
2013-02,02,1,2,302,278,431,92901
2013-02,02,1,3,230,230,316,54989
2013-02,02,1,4,506,502,637,1782
2013-02,02,1,5,238,221,295,94890
2013-02,02,2,1,333,329,427,78301
2013-02,02,2,2,303,299,409,92667
2013-02,02,2,3,225,225,285,53489
2013-02,02,2,4,506,469,589,1512
2013-02,02,2,5,241,200,370,91910
2013-03,03,1,1,336,329,1180,74689
2013-03,03,1,2,326,326,1028,58090
2013-03,03,1,3,225,223,374,53900
2013-03,03,1,4,510,510,669,1895
2013-03,03,1,5,255,248,1036,65001
2013-03,03,2,1,337,337,923,64209
2013-03,03,2,2,307,300,940,73900
2013-03,03,2,3,225,225,312,54111
2013-03,03,2,4,543,543,634,1909
2013-03,03,2,5,279,277,635,73301
2013-04,04,1,1,341,339,966,61029
2013-04,04,1,2,302,287,835,67010
2013-04,04,1,3,227,227,334,56011
2013-04,04,1,4,506,412,680,1812
2013-04,04,1,5,245,244,450,66989
2013-04,04,2,1,333,333,993,62497
2013-04,04,2,2,310,281,683,62000
2013-04,04,2,3,225,218,354,58502
2013-04,04,2,4,506,505,545,1791
2013-04,04,2,5,240,227,421,62000
2013-05,05,1,1,336,329,912,62999
2013-05,05,1,2,317,317,601,61700
2013-05,05,1,3,225,223,312,57051
2013-05,05,1,4,600,595,719,1700
2013-05,05,1,5,239,238,447,62301
2013-05,05,2,1,333,324,888,64839
2013-05,05,2,2,332,329,749,67304
2013-05,05,2,3,233,232,288,56889
2013-05,05,2,4,507,459,642,1663
2013-05,05,2,5,251,239,466,66701
2013-06,06,1,1,341,336,855,67301
2013-06,06,1,2,302,274,732,75000
2013-06,06,1,3,227,226,292,57989
2013-06,06,1,4,511,479,616,1701
2013-06,06,1,5,239,189,534,76000
2013-06,06,2,1,342,341,788,69903
2013-06,06,2,2,305,304,734,81751
2013-06,06,2,3,227,221,289,59001
2013-06,06,2,4,554,534,647,1712
